	ID_TWEET	DATATIME	LATITUDE	LONGITUDE	cluster
4	715689530825682944	2016-03-31 20:57:35	-49.31690354	-25.43524542	4
16	715688302381252608	2016-03-31 20:52:42	-49.31606792	-25.43497632	4
18	715688128053436416	2016-03-31 20:52:01	-49.25	-25.4167	1
21	715687358746726400	2016-03-31 20:48:57	-49.25	-25.4167	1
22	715687325188153344	2016-03-31 20:48:49	-49.25	-25.4167	1
29	715686025201213440	2016-03-31 20:43:39	-49.2767	-25.44	2
33	715685686536310785	2016-03-31 20:42:19	-49.25	-25.4167	1
34	715685532039319552	2016-03-31 20:41:42	-49.265305	-25.5379675	3
35	715685492415676420	2016-03-31 20:41:32	-49.265305	-25.5379675	3
36	715685485033689090	2016-03-31 20:41:31	-49.27369021	-25.43819808	2
37	715685488288509953	2016-03-31 20:41:31	-49.25	-25.4167	1
38	715685452028776448	2016-03-31 20:41:23	-49.265305	-25.5379675	3
39	715685282444664833	2016-03-31 20:40:42	-49.2653	-25.53798	3
42	715685161661280256	2016-03-31 20:40:13	-49.27099254	-25.43771215	2
43	715685083148103681	2016-03-31 20:39:55	-49.2442538	-25.5368808	6
44	715685066844868608	2016-03-31 20:39:51	-49.31606792	-25.43497632	4
45	715685054299643908	2016-03-31 20:39:48	-49.31633064	-25.43538523	4
48	715684723125850112	2016-03-31 20:38:29	-49.25	-25.4167	1
49	715684679693635584	2016-03-31 20:38:19	-49.24837916	-25.48198044	8
51	715684616049467392	2016-03-31 20:38:03	-49.27810575	-25.42216487	2
53	715684513410588672	2016-03-31 20:37:39	-49.27412581	-25.42521619	2
54	715684318593482752	2016-03-31 20:36:52	-49.25	-25.4167	1
56	715684204374265857	2016-03-31 20:36:25	-49.27191138	-25.42976842	2
58	715684032990822400	2016-03-31 20:35:44	-49.2843692	-25.4312671	5
60	715683882255970305	2016-03-31 20:35:08	-49.26529667	-25.53796667	3
62	715683346232307712	2016-03-31 20:33:01	-49.2851279	-25.4419055	5
63	715682976219197440	2016-03-31 20:31:32	-49.26529667	-25.53796667	3
65	715682620835819525	2016-03-31 20:30:08	-49.290816	-25.477991	10
68	715681756758863872	2016-03-31 20:26:42	-49.2652575	-25.537915	3
70	715681683941490689	2016-03-31 20:26:24	-49.28540302	-25.43578222	5
72	715681630724169728	2016-03-31 20:26:12	-49.2653025	-25.5379675	3
73	715681606757908480	2016-03-31 20:26:06	-49.2653025	-25.5379675	3
74	715681573711003648	2016-03-31 20:25:58	-49.2653025	-25.5379675	3
